WEO Country Code;ISO;WEO Subject Code;Country;Subject Descriptor;Subject Notes;Units;Scale;Country/Series-specific Notes;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;Estimates Start After
313;BHS;NGDPRPPPPC;The Bahamas;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;27,652.32;26,348.52;27,369.02;28,577.65;28,624.58;29,412.86;29,666.11;30,250.91;30,301.81;30,476.30;30,286.52;28,534.91;26,974.03;26,594.40;26,962.78;27,572.80;28,251.17;29,154.98;30,030.98;31,659.43;32,451.97;32,811.81;33,213.87;32,334.81;32,176.06;32,828.91;33,246.84;33,325.35;32,171.61;30,477.73;30,604.96;30,452.46;31,045.72;30,576.84;30,194.39;30,172.95;29,335.56;29,428.53;29,772.90;30,062.41;30,206.08;30,320.57;30,435.49;30,550.85;30,666.64;2017
419;BHR;NGDPRPPPPC;Bahrain;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;40,934.98;40,456.63;41,540.78;42,980.73;43,320.30;41,488.20;40,268.25;38,405.86;39,279.14;38,296.81;39,296.01;38,586.72;40,661.27;42,616.98;42,843.41;42,533.16;42,774.02;42,639.49;43,544.68;44,945.46;46,848.02;46,291.74;44,526.74;43,989.33;43,676.76;43,218.76;42,583.31;42,615.48;42,525.33;40,944.91;40,777.39;42,962.58;44,050.32;44,797.47;44,564.24;43,978.26;43,795.41;44,569.89;44,495.10;44,427.36;44,470.16;44,624.72;44,820.44;45,168.35;45,599.10;2016
513;BGD;NGDPRPPPPC;Bangladesh;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1,159.72;1,191.81;1,197.57;1,220.00;1,237.67;1,250.19;1,265.60;1,268.32;1,264.83;1,285.88;1,312.42;1,335.88;1,368.93;1,397.47;1,429.78;1,466.73;1,508.41;1,556.08;1,602.08;1,656.59;1,717.42;1,769.08;1,823.97;1,899.11;1,985.88;2,083.01;2,199.08;2,317.02;2,419.81;2,522.29;2,645.68;2,785.47;2,924.75;3,063.73;3,223.77;3,409.02;3,617.06;3,851.47;4,106.52;4,360.67;4,618.06;4,890.66;5,179.34;5,485.06;5,808.83;2013
316;BRB;NGDPRPPPPC;Barbados;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;13,943.96;13,631.14;12,924.35;12,954.42;13,385.28;13,493.87;14,137.20;14,455.50;14,908.43;15,389.72;14,829.50;14,202.01;13,346.06;13,406.55;13,626.72;13,852.89;14,349.10;14,972.80;15,474.59;15,468.90;16,102.36;15,672.49;15,750.33;16,046.21;16,222.31;16,809.02;17,695.33;17,950.97;18,037.37;17,091.07;16,653.89;16,460.77;16,392.56;16,115.68;16,037.60;16,344.20;16,669.93;16,599.89;16,475.09;16,417.26;16,473.97;16,678.77;16,942.67;17,210.76;17,483.08;2017
913;BLR;NGDPRPPPPC;Belarus;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;8,416.20;8,311.13;7,497.08;6,911.74;6,110.23;5,460.17;5,631.09;6,305.39;6,870.36;7,119.19;7,551.14;7,934.17;8,382.40;9,035.79;10,140.50;11,173.37;12,375.99;13,517.77;14,960.90;15,029.46;16,218.12;17,152.52;17,474.95;17,651.34;17,935.21;17,224.72;16,759.49;17,171.22;17,780.64;18,183.71;18,685.42;19,177.72;19,650.16;20,144.03;20,649.70;2017
124;BEL;NGDPRPPPPC;Belgium;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;25,189.89;25,098.49;25,270.33;25,340.32;25,978.47;26,394.99;26,872.91;27,476.46;28,742.28;29,583.94;30,450.24;30,886.72;31,249.90;30,806.93;31,699.33;32,359.35;32,834.44;33,961.75;34,557.77;35,713.97;36,920.10;37,131.36;37,622.81;37,745.33;38,964.67;39,592.41;40,331.50;41,434.29;41,436.51;40,178.03;40,950.04;41,077.27;40,894.00;40,747.60;41,100.73;41,596.35;41,940.08;42,497.40;42,884.55;43,214.12;43,588.63;44,003.08;44,434.98;44,876.63;45,320.66;2017
339;BLZ;NGDPRPPPPC;Belize;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;3,182.91;3,183.37;2,889.17;2,980.98;3,230.54;3,098.48;3,230.59;3,840.16;4,173.99;4,696.54;5,076.51;5,512.31;6,022.38;6,212.60;6,045.73;5,930.81;5,866.27;5,863.07;5,865.13;6,260.32;6,884.34;7,019.57;7,158.71;7,583.55;7,685.90;7,635.88;7,733.65;7,563.02;7,550.26;7,583.29;7,821.72;7,784.07;7,810.62;7,675.89;7,798.41;7,859.94;7,614.07;7,526.15;7,556.46;7,547.22;7,508.50;7,447.46;7,379.86;7,314.43;7,247.78;2014
638;BEN;NGDPRPPPPC;Benin;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1,724.66;1,699.00;1,676.08;1,590.82;1,548.41;1,563.69;1,556.81;1,478.64;1,481.31;1,397.80;1,476.58;1,487.87;1,479.50;1,511.98;1,490.57;1,529.47;1,546.20;1,586.10;1,600.86;1,622.03;1,666.44;1,703.07;1,728.68;1,734.75;1,757.89;1,736.10;1,752.95;1,805.55;1,841.31;1,831.94;1,818.84;1,820.90;1,855.90;1,935.90;2,003.92;1,991.83;2,016.59;2,078.73;2,156.89;2,237.51;2,323.29;2,412.96;2,506.24;2,603.17;2,705.93;2015
514;BTN;NGDPRPPPPC;Bhutan;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1,102.66;1,220.01;1,286.61;1,349.97;1,417.74;1,438.39;1,504.67;1,747.67;1,948.96;2,018.91;2,177.93;2,288.83;2,367.48;2,485.42;2,575.64;2,746.76;2,888.07;3,001.39;3,104.28;3,233.44;3,365.69;3,497.22;3,721.12;3,941.76;4,088.28;4,247.92;4,435.30;4,897.27;5,321.95;5,522.73;5,936.79;6,406.60;6,698.95;6,827.71;6,985.32;7,299.20;7,708.57;8,145.91;8,479.76;8,746.71;9,152.78;9,548.94;10,074.57;10,654.48;11,168.59;2015
218;BOL;NGDPRPPPPC;Bolivia;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;4,583.12;4,246.19;3,995.54;3,755.64;3,671.46;3,536.10;3,374.64;3,387.07;3,414.34;3,471.28;3,557.93;3,668.73;3,652.88;3,703.00;3,768.14;3,867.35;3,957.19;4,072.28;4,194.28;4,131.65;4,155.63;4,147.59;4,173.58;4,210.31;4,309.07;4,421.86;4,555.13;4,683.27;4,889.18;4,971.03;5,092.96;5,272.95;5,456.14;5,736.64;5,957.12;6,151.64;6,312.93;6,474.18;6,646.23;6,803.23;6,957.24;7,107.89;7,254.81;7,404.76;7,557.81;2012
963;BIH;NGDPRPPPPC;Bosnia and Herzegovina;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;4,011.33;4,964.73;5,653.47;6,246.82;6,511.14;6,656.85;6,984.87;7,247.77;7,697.12;8,022.62;8,483.83;9,004.12;9,534.05;9,499.27;9,635.10;9,810.17;9,849.39;10,201.74;10,431.87;10,843.89;11,253.49;11,620.01;11,992.07;12,370.11;12,778.96;13,223.89;13,704.09;14,220.73;14,758.79;2017
616;BWA;NGDPRPPPPC;Botswana;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;4,265.31;4,529.42;5,061.48;5,407.99;5,555.17;5,769.77;6,044.36;6,698.56;7,975.92;8,055.19;8,447.67;8,714.84;8,451.18;8,551.48;8,262.76;8,624.88;8,913.73;9,415.65;9,287.55;9,993.33;10,019.49;9,895.27;10,358.58;10,707.28;10,865.76;11,218.92;11,995.89;12,809.70;13,419.40;12,225.16;13,104.31;13,596.16;13,943.88;15,239.71;15,578.83;15,032.68;15,393.52;15,552.03;15,969.38;16,291.54;16,650.08;16,999.05;17,394.71;18,006.55;18,361.40;2016
223;BRA;NGDPRPPPPC;Brazil;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;11,372.21;10,634.17;10,466.78;9,896.19;10,203.75;10,784.26;11,367.48;11,552.43;11,371.63;11,530.35;10,726.64;10,655.50;10,424.82;10,763.46;11,213.84;11,508.58;11,200.81;11,402.56;11,266.25;11,149.56;11,470.20;11,467.52;11,665.96;11,654.57;12,180.18;12,424.51;12,772.94;13,405.85;13,943.42;13,784.59;14,679.32;15,131.51;15,290.12;15,617.09;15,562.72;14,880.71;14,269.89;14,305.86;14,359.54;14,552.25;14,821.22;15,053.23;15,293.49;15,542.18;15,799.58;2016
516;BRN;NGDPRPPPPC;Brunei Darussalam;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;98,418.88;93,824.67;91,097.67;87,911.95;88,063.41;86,524.77;86,822.07;88,667.25;86,885.89;87,199.14;89,137.26;89,463.31;86,039.80;83,401.49;83,940.73;84,235.51;84,456.12;84,831.83;85,946.39;83,954.38;84,562.11;86,839.61;85,651.53;82,837.02;80,239.00;80,939.87;82,567.71;82,208.20;79,543.72;76,730.74;75,530.36;72,810.92;71,779.67;70,693.89;73,168.17;77,085.03;81,981.70;85,860.65;88,224.52;90,157.32;2016
918;BGR;NGDPRPPPPC;Bulgaria;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;10,437.80;10,958.55;11,386.08;11,698.31;12,214.91;12,425.86;13,088.54;13,722.05;14,088.99;14,080.16;12,880.04;11,592.42;10,726.54;9,590.47;9,349.33;9,304.46;8,646.21;8,569.68;9,049.49;9,047.56;9,404.25;10,078.37;10,738.43;11,356.58;12,150.07;13,086.91;14,058.41;15,168.05;16,152.66;15,661.63;15,993.41;16,694.86;16,797.85;16,971.38;17,387.58;18,112.90;18,963.59;19,831.07;20,582.99;21,384.12;22,151.90;22,909.62;23,693.24;24,503.68;25,341.83;2018
748;BFA;NGDPRPPPPC;Burkina Faso;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;810.392;812.621;804.072;774.657;767.16;832.12;875.349;850.817;876.835;872.355;844.342;896.598;874.806;880.891;868.463;893.24;964.587;997.365;1,040.67;1,085.90;1,075.39;1,114.15;1,129.68;1,183.11;1,200.43;1,266.41;1,302.67;1,319.28;1,354.21;1,352.75;1,423.38;1,472.72;1,521.45;1,562.32;1,582.33;1,596.33;1,642.65;1,696.64;1,774.37;1,830.21;1,888.23;1,949.22;2,012.75;2,078.17;2,146.22;2016
618;BDI;NGDPRPPPPC;Burundi;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;790.19;861.073;827.741;834.054;811.567;881.375;884.11;906.204;924.701;910.497;915.166;940.511;923.69;867.586;820.151;741.31;669.676;661.581;680.919;668.781;660.869;652.303;648.205;648.723;653.549;679.004;694.917;697.966;708.518;712.035;725.311;731.872;741.432;761.887;772.94;720.739;691.114;669.694;651.156;634.839;619.43;604.395;589.725;575.412;561.445;0
624;CPV;NGDPRPPPPC;Cabo Verde;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1,857.41;1,983.68;2,002.76;2,149.42;2,184.05;2,323.25;2,340.75;2,391.52;2,482.44;2,567.83;2,528.08;2,504.26;2,519.45;2,639.57;2,831.82;2,965.97;3,087.95;3,247.29;3,443.32;3,770.72;3,962.99;4,124.34;4,261.63;4,501.29;4,647.14;4,845.62;5,218.97;5,633.94;5,944.05;5,806.65;5,828.25;5,991.79;5,986.95;5,963.92;5,928.21;5,915.13;6,117.18;6,283.17;6,502.81;6,748.76;7,000.40;7,263.33;7,537.84;7,824.65;8,120.40;2016
522;KHM;NGDPRPPPPC;Cambodia;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;903.423;962.362;965.149;945.03;982.453;1,015.35;1,019.67;1,058.34;1,086.32;1,117.04;1,130.67;1,154.29;1,271.02;1,362.83;1,449.88;1,516.48;1,616.85;1,754.86;1,956.58;2,135.56;2,320.75;2,441.72;2,408.64;2,513.06;2,646.49;2,790.55;2,951.57;3,115.65;3,285.59;3,459.20;3,646.53;3,853.15;4,055.61;4,264.73;4,479.05;4,696.05;4,914.26;5,134.02;2012
622;CMR;NGDPRPPPPC;Cameroon;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;2,859.41;3,252.38;3,402.61;3,538.63;3,703.43;3,899.68;4,052.73;3,855.61;3,451.18;3,290.30;2,994.35;2,795.52;2,630.10;2,472.51;2,341.02;2,352.50;2,400.83;2,459.55;2,509.68;2,540.50;2,559.12;2,598.15;2,634.48;2,679.77;2,783.54;2,762.44;2,780.11;2,836.96;2,855.97;2,839.27;2,864.82;2,910.36;2,968.37;3,052.48;3,153.26;3,250.21;3,318.33;3,352.30;3,402.88;3,462.60;3,538.14;3,620.69;3,712.59;3,814.47;3,926.91;2010
156;CAN;NGDPRPPPPC;Canada;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;27,356.13;27,955.90;26,742.61;27,164.29;28,498.67;29,575.40;29,914.70;30,743.27;31,674.84;31,856.98;31,427.01;30,381.45;30,290.27;30,741.01;31,780.39;32,298.07;32,480.34;33,532.78;34,543.52;36,035.39;37,554.88;37,826.91;38,548.29;38,876.59;39,702.56;40,588.88;41,241.66;41,687.26;41,662.52;39,982.83;40,760.19;41,625.95;41,911.80;42,436.44;43,211.69;43,161.45;43,186.95;43,940.13;44,134.80;44,215.30;44,644.55;45,020.52;45,338.78;45,647.80;45,964.29;2018
626;CAF;NGDPRPPPPC;Central African Republic;Gross domestic product per capita, constant prices;GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.;"Purchasing power parity; 2011 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;946.037;1,037.16;975.523;894.726;960.362;969.697;1,004.85;984.136;981.534;1,013.75;971.405;956.238;918.367;897.137;966.878;984.945;888.036;935.578;950.236;965.89;931.803;918.894;905.901;830.245;838.099;844.189;868.848;892.328;893.639;891.627;901.118;912.956;932.22;578.744;573.515;589.482;604.34;618.372;632.803;651.938;671.062;690.859;711.6;733.088;755.26;2004
